units,threshold,epoch,bottleneck,layer,precision,recall,f1,time
processing layer 1 encoding 88,196000,10,True,1,0.3686868686868687,0.26838235294117646,0.31063829787234043,0.2166947398870062,217.8400719165802
processing layer 1 encoding 1616,201000,10,True,1,0.37894736842105264,0.2647058823529412,0.3116883116883117,0.22156205012795932,233.9114270210266
processing layer 1 encoding 3232,201000,10,True,1,0.3829787234042553,0.2647058823529412,0.31304347826086953,0.22408887479372427,288.3856508731842
processing layer 2 encoding 88,196000,10,True,2,0.3686868686868687,0.26838235294117646,0.31063829787234043,0.2166947398870062,379.39658284187317
processing layer 2 encoding 1616,201000,10,True,2,0.37894736842105264,0.2647058823529412,0.3116883116883117,0.22156205012795932,443.1826710700989
processing layer 2 encoding 3232,201000,10,True,2,0.3829787234042553,0.2647058823529412,0.31304347826086953,0.22408887479372427,486.4462263584137
