conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,mcc,time
1,8,5,2,20,-1,-1,-1,-1,0.10032105445861816
1,8,5,3,20,-1,-1,-1,-1,0.0837559700012207
1,8,5,4,20,-1,-1,-1,-1,0.09578895568847656
1,8,5,5,20,-1,-1,-1,-1,0.0857551097869873
1,8,7,2,20,-1,-1,-1,-1,0.09855389595031738
1,8,7,3,20,-1,-1,-1,-1,0.0912330150604248
1,8,7,4,20,-1,-1,-1,-1,0.09369611740112305
1,8,7,5,20,-1,-1,-1,-1,0.08809208869934082
1,8,11,2,20,-1,-1,-1,-1,0.10088276863098145
1,8,11,3,20,-1,-1,-1,-1,0.09816813468933105
1,8,11,4,20,-1,-1,-1,-1,0.0815579891204834
1,8,11,5,20,-1,-1,-1,-1,0.08538317680358887
1,16,5,2,20,-1,-1,-1,-1,0.08864688873291016
1,16,5,3,20,-1,-1,-1,-1,0.08211088180541992
1,16,5,4,20,-1,-1,-1,-1,0.08423519134521484
1,16,5,5,20,-1,-1,-1,-1,0.08251309394836426
1,16,7,2,20,-1,-1,-1,-1,0.08778905868530273
1,16,7,3,20,-1,-1,-1,-1,0.08440303802490234
1,16,7,4,20,-1,-1,-1,-1,0.08027791976928711
1,16,7,5,20,-1,-1,-1,-1,0.08217287063598633
1,16,11,2,20,-1,-1,-1,-1,0.08734893798828125
1,16,11,3,20,-1,-1,-1,-1,0.08567595481872559
1,16,11,4,20,-1,-1,-1,-1,0.16102814674377441
1,16,11,5,20,-1,-1,-1,-1,0.08210396766662598
1,32,5,2,20,-1,-1,-1,-1,0.0864260196685791
1,32,5,3,20,-1,-1,-1,-1,0.07754397392272949
1,32,5,4,20,-1,-1,-1,-1,0.08407187461853027
1,32,5,5,20,-1,-1,-1,-1,0.08009600639343262
1,32,7,2,20,-1,-1,-1,-1,0.0842580795288086
1,32,7,3,20,-1,-1,-1,-1,0.0875709056854248
1,32,7,4,20,-1,-1,-1,-1,0.08548188209533691
1,32,7,5,20,-1,-1,-1,-1,0.08846020698547363
1,32,11,2,20,-1,-1,-1,-1,0.08820676803588867
1,32,11,3,20,-1,-1,-1,-1,0.08358407020568848
1,32,11,4,20,-1,-1,-1,-1,0.08607220649719238
1,32,11,5,20,-1,-1,-1,-1,0.0820610523223877
1,64,5,2,20,-1,-1,-1,-1,0.08978891372680664
1,64,5,3,20,-1,-1,-1,-1,0.08735418319702148
1,64,5,4,20,-1,-1,-1,-1,0.08588385581970215
1,64,5,5,20,-1,-1,-1,-1,0.08464217185974121
1,64,7,2,20,-1,-1,-1,-1,0.08637499809265137
1,64,7,3,20,-1,-1,-1,-1,0.08391308784484863
1,64,7,4,20,-1,-1,-1,-1,0.08215594291687012
1,64,7,5,20,-1,-1,-1,-1,0.08511686325073242
1,64,11,2,20,-1,-1,-1,-1,0.08418989181518555
1,64,11,3,20,-1,-1,-1,-1,0.08110499382019043
1,64,11,4,20,-1,-1,-1,-1,0.08353900909423828
1,64,11,5,20,-1,-1,-1,-1,0.07870101928710938
2,8,5,2,20,-1,-1,-1,-1,0.11303019523620605
2,8,5,3,20,-1,-1,-1,-1,0.10576486587524414
2,8,5,4,20,-1,-1,-1,-1,0.1010739803314209
2,8,5,5,20,-1,-1,-1,-1,0.09571695327758789
2,8,7,2,20,-1,-1,-1,-1,0.11644268035888672
2,8,7,3,20,-1,-1,-1,-1,0.10731911659240723
2,8,7,4,20,-1,-1,-1,-1,0.10907220840454102
2,8,7,5,20,-1,-1,-1,-1,0.0994420051574707
2,8,11,2,20,-1,-1,-1,-1,0.11552309989929199
2,8,11,3,20,-1,-1,-1,-1,0.10742902755737305
2,8,11,4,20,-1,-1,-1,-1,0.10868597030639648
2,8,11,5,20,-1,-1,-1,-1,0.09959912300109863
2,16,5,2,20,-1,-1,-1,-1,0.11366701126098633
2,16,5,3,20,-1,-1,-1,-1,0.10243368148803711
2,16,5,4,20,-1,-1,-1,-1,0.10615706443786621
2,16,5,5,20,-1,-1,-1,-1,0.10197591781616211
2,16,7,2,20,-1,-1,-1,-1,0.11205720901489258
2,16,7,3,20,-1,-1,-1,-1,0.10822606086730957
2,16,7,4,20,-1,-1,-1,-1,0.23713207244873047
2,16,7,5,20,-1,-1,-1,-1,0.1058192253112793
2,16,11,2,20,-1,-1,-1,-1,0.11749100685119629
2,16,11,3,20,-1,-1,-1,-1,0.11064600944519043
2,16,11,4,20,-1,-1,-1,-1,0.10108685493469238
2,16,11,5,20,-1,-1,-1,-1,0.11173605918884277
2,32,5,2,20,-1,-1,-1,-1,0.1311180591583252
2,32,5,3,20,-1,-1,-1,-1,0.1151878833770752
2,32,5,4,20,-1,-1,-1,-1,0.10948300361633301
2,32,5,5,20,-1,-1,-1,-1,0.10358405113220215
2,32,7,2,20,-1,-1,-1,-1,0.11740803718566895
2,32,7,3,20,-1,-1,-1,-1,0.11563897132873535
2,32,7,4,20,-1,-1,-1,-1,0.11491107940673828
2,32,7,5,20,-1,-1,-1,-1,0.10457658767700195
2,32,11,2,20,-1,-1,-1,-1,0.11146187782287598
2,32,11,3,20,-1,-1,-1,-1,0.10945415496826172
2,32,11,4,20,-1,-1,-1,-1,0.1059260368347168
2,32,11,5,20,-1,-1,-1,-1,0.10559988021850586
2,64,5,2,20,-1,-1,-1,-1,0.11296701431274414
2,64,5,3,20,-1,-1,-1,-1,0.10460591316223145
2,64,5,4,20,-1,-1,-1,-1,0.10387873649597168
2,64,5,5,20,-1,-1,-1,-1,0.10634803771972656
2,64,7,2,20,-1,-1,-1,-1,0.1133267879486084
2,64,7,3,20,-1,-1,-1,-1,0.11030006408691406
2,64,7,4,20,-1,-1,-1,-1,0.1116783618927002
2,64,7,5,20,-1,-1,-1,-1,0.10612010955810547
2,64,11,2,20,-1,-1,-1,-1,0.11499810218811035
2,64,11,3,20,-1,-1,-1,-1,0.10674691200256348
2,64,11,4,20,-1,-1,-1,-1,0.10595703125
2,64,11,5,20,-1,-1,-1,-1,0.10498690605163574
