units,threshold,epoch,bottleneck,layer,precision,recall,f1,time
processing layer 1 encoding 88,1000,10,True,1,0.6190476190476191,1.0,0.7647058823529412,0.0,10.644336700439453
processing layer 1 encoding 1616,1000,10,True,1,0.6190476190476191,1.0,0.7647058823529412,0.0,10.676800966262817
processing layer 1 encoding 3232,1000,10,True,1,0.6190476190476191,1.0,0.7647058823529412,0.0,12.284285068511963
processing layer 2 encoding 88,1000,10,True,2,0.6190476190476191,1.0,0.7647058823529412,0.0,18.358617067337036
processing layer 2 encoding 1616,1000,10,True,2,0.6190476190476191,1.0,0.7647058823529412,0.0,19.658538103103638
processing layer 2 encoding 3232,1000,10,True,2,0.6190476190476191,1.0,0.7647058823529412,0.0,20.806705951690674
