conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,mcc,time
1,32,11,4,20,-1,-1,-1,-1,0.06870603561401367
1,32,11,5,20,-1,-1,-1,-1,0.06821584701538086
1,64,5,2,20,-1,-1,-1,-1,0.0733799934387207
1,64,5,3,20,0.351931330472103,0.3014705882352941,0.3247524752475247,0.2196381652426376,33.869524002075195
1,64,5,4,20,-1,-1,-1,-1,0.07177925109863281
1,64,5,5,20,-1,-1,-1,-1,0.0696570873260498
1,64,7,2,20,-1,-1,-1,-1,0.07111001014709473
1,64,7,3,20,0.34297520661157027,0.30514705882352944,0.3229571984435798,0.2146543385836364,37.918646812438965
1,64,7,4,20,-1,-1,-1,-1,0.07183599472045898
1,64,7,5,20,-1,-1,-1,-1,0.06813597679138184
1,64,11,2,20,-1,-1,-1,-1,0.07394886016845703
1,64,11,3,20,0.34297520661157027,0.30514705882352944,0.3229571984435798,0.2146543385836364,50.30536198616028
1,64,11,4,20,-1,-1,-1,-1,0.06910371780395508
1,64,11,5,20,-1,-1,-1,-1,0.06789207458496094
2,8,5,2,20,-1,-1,-1,-1,0.09722089767456055
2,8,5,3,20,-1,-1,-1,-1,0.0880579948425293
2,8,5,4,20,-1,-1,-1,-1,0.08520078659057617
2,8,5,5,20,-1,-1,-1,-1,0.08227205276489258
2,8,7,2,20,-1,-1,-1,-1,0.09517216682434082
2,8,7,3,20,-1,-1,-1,-1,0.08839893341064453
2,8,7,4,20,-1,-1,-1,-1,0.08491301536560059
2,8,7,5,20,-1,-1,-1,-1,0.0830390453338623
2,8,11,2,20,-1,-1,-1,-1,0.09714007377624512
2,8,11,3,20,-1,-1,-1,-1,0.08733105659484863
2,8,11,4,20,-1,-1,-1,-1,0.0934610366821289
2,8,11,5,20,-1,-1,-1,-1,0.0843820571899414
2,16,5,2,20,-1,-1,-1,-1,0.0939490795135498
2,16,5,3,20,-1,-1,-1,-1,0.08584117889404297
2,16,5,4,20,-1,-1,-1,-1,0.08664703369140625
2,16,5,5,20,-1,-1,-1,-1,0.08387303352355957
2,16,7,2,20,-1,-1,-1,-1,0.09461474418640137
2,16,7,3,20,-1,-1,-1,-1,0.09139204025268555
2,16,7,4,20,-1,-1,-1,-1,0.08875203132629395
2,16,7,5,20,-1,-1,-1,-1,0.08384490013122559
2,16,11,2,20,-1,-1,-1,-1,0.09447097778320312
2,16,11,3,20,-1,-1,-1,-1,0.08889126777648926
2,16,11,4,20,-1,-1,-1,-1,0.08463406562805176
2,16,11,5,20,-1,-1,-1,-1,0.08245587348937988
2,32,5,2,20,-1,-1,-1,-1,0.09507918357849121
2,32,5,3,20,-1,-1,-1,-1,0.09621310234069824
2,32,5,4,20,-1,-1,-1,-1,0.0854952335357666
2,32,5,5,20,-1,-1,-1,-1,0.08322715759277344
2,32,7,2,20,-1,-1,-1,-1,0.09328293800354004
2,32,7,3,20,-1,-1,-1,-1,0.08543205261230469
2,32,7,4,20,-1,-1,-1,-1,0.08480691909790039
2,32,7,5,20,-1,-1,-1,-1,0.08491086959838867
2,32,11,2,20,-1,-1,-1,-1,0.09358406066894531
2,32,11,3,20,-1,-1,-1,-1,0.21075201034545898
2,32,11,4,20,-1,-1,-1,-1,0.0830528736114502
2,32,11,5,20,-1,-1,-1,-1,0.08268094062805176
2,64,5,2,20,-1,-1,-1,-1,0.09621810913085938
2,64,5,3,20,-1,-1,-1,-1,0.08564114570617676
2,64,5,4,20,-1,-1,-1,-1,0.08432602882385254
2,64,5,5,20,-1,-1,-1,-1,0.08205914497375488
2,64,7,2,20,-1,-1,-1,-1,0.09439706802368164
2,64,7,3,20,-1,-1,-1,-1,0.08712601661682129
2,64,7,4,20,-1,-1,-1,-1,0.08381485939025879
2,64,7,5,20,-1,-1,-1,-1,0.08253979682922363
2,64,11,2,20,-1,-1,-1,-1,0.09366703033447266
2,64,11,3,20,-1,-1,-1,-1,0.08780622482299805
2,64,11,4,20,-1,-1,-1,-1,0.08459806442260742
2,64,11,5,20,-1,-1,-1,-1,0.08326411247253418
