conv_layers,filters,kernel,max_pooling_window,epochs,precision,recall,f1,mcc,time
1,8,5,2,20,-1,-1,-1,-1,0.07438802719116211
1,8,5,3,20,0.3565217391304348,0.3014705882352941,0.32669322709163345,0.2229016344570521,7.273298978805542
1,8,5,4,20,-1,-1,-1,-1,0.07082295417785645
1,8,5,5,20,-1,-1,-1,-1,0.06675887107849121
1,8,7,2,20,-1,-1,-1,-1,0.07219481468200684
1,8,7,3,20,0.3373493975903614,0.3088235294117647,0.32245681381957775,0.2119471704323616,7.215703010559082
1,8,7,4,20,-1,-1,-1,-1,0.06657099723815918
1,8,7,5,20,-1,-1,-1,-1,0.06581497192382812
1,8,11,2,20,-1,-1,-1,-1,0.07189083099365234
1,8,11,3,20,0.3387096774193548,0.3088235294117647,0.3230769230769231,0.21296643805838059,7.847272872924805
1,8,11,4,20,-1,-1,-1,-1,0.06783008575439453
1,8,11,5,20,-1,-1,-1,-1,0.06844401359558105
1,16,5,2,20,-1,-1,-1,-1,0.07149600982666016
1,16,5,3,20,0.340080971659919,0.3088235294117647,0.3236994219653179,0.21399034174078815,9.576458930969238
1,16,5,4,20,-1,-1,-1,-1,0.07352805137634277
1,16,5,5,20,-1,-1,-1,-1,0.06644678115844727
1,16,7,2,20,-1,-1,-1,-1,0.07090997695922852
1,16,7,3,20,0.3459915611814346,0.3014705882352941,0.3222003929273084,0.2153606908289991,10.002189874649048
1,16,7,4,20,-1,-1,-1,-1,0.07028508186340332
1,16,7,5,20,-1,-1,-1,-1,0.06728911399841309
1,16,11,2,20,-1,-1,-1,-1,0.07541584968566895
1,16,11,3,20,0.35526315789473684,0.2977941176470588,0.324,0.2204610448022367,11.312068939208984
1,16,11,4,20,-1,-1,-1,-1,0.06712484359741211
1,16,11,5,20,-1,-1,-1,-1,0.0673980712890625
1,32,5,2,20,-1,-1,-1,-1,0.07079195976257324
1,32,5,3,20,0.34893617021276596,0.3014705882352941,0.3234714003944773,0.21748906719015826,16.029104948043823
1,32,5,4,20,-1,-1,-1,-1,0.06833624839782715
1,32,5,5,20,-1,-1,-1,-1,0.06898379325866699
1,32,7,2,20,-1,-1,-1,-1,0.07013988494873047
1,32,7,3,20,0.3474576271186441,0.3014705882352941,0.3228346456692913,0.2164223158790445,17.571051120758057
1,32,7,4,20,-1,-1,-1,-1,0.06883502006530762
1,32,7,5,20,-1,-1,-1,-1,0.06525325775146484
1,32,11,2,20,-1,-1,-1,-1,0.07202005386352539
1,32,11,3,20,0.3346456692913386,0.3125,0.3231939163498099,0.21135385838990675,20.434929847717285
