units,threshold,epoch,bottleneck,layer,precision,recall,f1,time
processing layer 1 encoding 88,156000,10,True,1,0.3761904761904762,0.45930232558139533,0.4136125654450262,0.2807999468386436,179.82312321662903
processing layer 1 encoding 1616,156000,10,True,1,0.37799043062200954,0.45930232558139533,0.41469816272965876,0.28240129802678854,205.1932201385498
processing layer 1 encoding 3232,156000,10,True,1,0.38164251207729466,0.45930232558139533,0.41688654353562005,0.2856288475421381,257.8645179271698
processing layer 2 encoding 88,156000,10,True,2,0.37799043062200954,0.45930232558139533,0.41469816272965876,0.28240129802678854,343.1912248134613
processing layer 2 encoding 1616,156000,10,True,2,0.37799043062200954,0.45930232558139533,0.41469816272965876,0.28240129802678854,382.76379323005676
processing layer 2 encoding 3232,156000,10,True,2,0.38164251207729466,0.45930232558139533,0.41688654353562005,0.2856288475421381,465.52520298957825
