Encoding_dim,threshold,epoch,bottleneck,layer,precision,recall,f1,time
255,-1,20,True,1,-1,-1,-1,-1,0.12442708015441895
511,-1,20,True,1,-1,-1,-1,-1,0.1199350357055664
1023,-1,20,True,1,-1,-1,-1,-1,0.12289214134216309
255,-1,20,True,2,-1,-1,-1,-1,0.15217185020446777
511,-1,20,True,2,-1,-1,-1,-1,0.15755271911621094
1023,-1,20,True,2,-1,-1,-1,-1,0.16127800941467285
