Encoding_dim,threshold,epoch,bottleneck,layer,precision,recall,f1,time
230,-1,20,True,1,-1,-1,-1,-1,0.1478278636932373
461,-1,20,True,1,-1,-1,-1,-1,0.14607810974121094
923,-1,20,True,1,-1,-1,-1,-1,0.1806190013885498
230,-1,20,True,2,-1,-1,-1,-1,0.2074582576751709
461,-1,20,True,2,-1,-1,-1,-1,0.1856091022491455
923,-1,20,True,2,-1,-1,-1,-1,0.21166110038757324
